box,activation,hiddenLayers,inputDropout,dropout,epochs,trainSamplesPerIteration,rho,l1,l2,maxw2,epsilon,balance_classes,dataTransformation,lossFunction,executionTime,logLoss1,logLoss2,logLoss3,logLoss4,accuracy1,accuracy2,accuracy3,accuracy4
work,RectifierWithDropout,500;250,0.1,0.1,35,-2,0.98,0,0.001,7,1.00E-06,FALSE,sqrtPlus3Over8,CrossEntropy,1.853210029,0.617962774,0.60661613,0.612648612,0.614652708,0.772527473,0.773353158,0.773288513,0.772462831
work,RectifierWithDropout,100;50,0.1,0.05,35,-2,0.9999,0.001,1.00E-04,3,1.00E-08,FALSE,sqrtPlus3Over8,CrossEntropy,0.376672396,0.63335378,0.62664486,0.685175372,0.659093889,0.768584357,0.764755317,0.751115133,0.753781513
work,RectifierWithDropout,75;150;300,0.1,0.3,35,-2,0.9999,1.00E-04,0.001,10,1.00E-09,FALSE,sqrtPlus3Over8,CrossEntropy,0.844184071,0.569071898,0.578807763,0.578735702,0.568892398,0.785585003,0.772254186,0.778330855,0.776535229
work,RectifierWithDropout,50;100,0,0.1,25,-2,0.9999,1.00E-04,0.001,3,1.00E-09,FALSE,raw,CrossEntropy,0.296885588,0.566711442,0.582119195,0.553020215,0.581104441,0.774789916,0.776650074,0.777102592,0.769941823
work,RectifierWithDropout,50;100,0.02,0.2,15,-2,0.98,0.001,0.001,5,1.00E-06,FALSE,sqrtPlus3Over8,CrossEntropy,0.162875362,0.641879333,0.641269511,0.640001142,0.634430238,0.758564964,0.763656345,0.758807938,0.757659987
work,RectifierWithDropout,500;500;250;100,0.3,0.1,5,-2,0.99,1.00E-04,0.001,3,1.00E-08,FALSE,log,CrossEntropy,0.982911791,0.582654985,0.572732679,0.585453054,0.574324145,0.781835811,0.784795397,0.777813692,0.78073691
work,RectifierWithDropout,100;20,0.01,0.05,25,-2,0.9999,1.00E-04,0.001,2,1.00E-07,FALSE,sqrtPlus3Over8,CrossEntropy,0.246977191,0.871847861,0.895975178,0.798579673,0.815390036,0.694957983,0.679100136,0.712457172,0.703943116
work,RectifierWithDropout,500;250;125,0.01,0.3,50,-2,0.999,1.00E-05,0.01,5,1.00E-06,FALSE,raw,CrossEntropy,2.275369945,0.777845753,0.780808408,0.784536214,0.777394135,0.726438268,0.725386256,0.733272998,0.719004525
work,RectifierWithDropout,200;100;50,0.05,0.3,35,-2,0.95,1.00E-04,0.001,30,1.00E-07,FALSE,sqrt,CrossEntropy,0.666605446,0.575799013,0.574216357,0.577771966,0.589122529,0.790368455,0.798176999,0.793910401,0.791596639
work,RectifierWithDropout,200;100;50,0,0.3,50,-2,0.95,0.01,1.00E-05,2,1.00E-07,FALSE,log,CrossEntropy,0.988611792,1.036550855,1.006744047,1.031206953,0.988531146,0.64272786,0.64826427,0.64826427,0.645507434
